,score,srcIP,dstIP,max_local,min_local
0,0.6529888981462109,141.94.96.195,192.168.224.86,0.8889458105646632,0.13430361043040012
1,0.6263067100853871,192.168.224.86,141.94.96.195,0.8889458105646632,0.09311489980890182
2,0.24642804316247396,144.48.81.150,192.168.224.86,0.49322972682850486,2.987678376462771e-06
3,0.21565269725937541,192.168.224.86,144.48.81.150,0.5373428682254269,1.2930278341940354e-05
4,0.21270536733910428,192.168.25.164,192.168.224.110,0.6381154156577882,0.0
5,0.20458928960559114,192.168.224.86,148.251.51.34,0.5176861885566852,5.402387249031637e-06
6,0.1989793226843969,192.168.19.187,192.168.224.110,0.8865680301711645,0.0
7,0.18171525338002306,192.168.1.99,192.168.224.110,0.9259726263609755,0.0
8,0.17114687125205638,192.168.22.131,192.168.224.110,0.8605327717139666,0.0
9,0.14689496402116084,192.168.51.242,192.168.224.110,0.4406848920634825,0.0
10,0.145523315157966,192.168.50.6,192.168.224.110,0.8731386956239029,0.0
11,0.14441359775303347,148.251.51.34,192.168.224.86,0.4572112167081944,1.1851553232036794e-06
12,0.11571571057250148,192.168.39.141,192.168.224.110,0.6942942634350089,0.0
13,0.10638036946737545,192.168.22.174,192.168.224.110,0.733895080184833,0.0
14,0.10318832963479406,192.168.18.113,192.168.224.110,0.7160295120063862,0.0
15,0.093621951846667,192.168.19.211,192.168.224.110,0.733895080184833,0.0
16,0.0765997386517272,192.168.19.174,192.168.224.110,0.382998693258636,0.0
17,0.05931614073207256,192.168.30.180,192.168.224.110,0.47452912585658047,0.0
18,0.05368097132981084,192.168.16.7,192.168.224.110,0.4294477706384867,0.0
19,0.050731513354949506,192.168.193.162,192.168.224.110,0.10146302670989901,0.0
20,0.04870431820275246,192.168.193.68,192.168.243.211,0.04870431820275246,0.04870431820275246
21,0.040745349328045466,192.168.192.117,192.168.224.110,0.3259627946243637,0.0
22,0.03722186887509941,192.168.24.3,192.168.238.20,0.07444373775019882,0.0
23,0.03249938952050149,192.168.49.233,192.168.224.110,0.12999755808200597,0.0
24,0.027616001746722144,192.168.249.93,192.168.226.215,0.027616001746722144,0.027616001746722144
25,0.02270790023494776,192.168.41.97,192.168.224.110,0.1799429406359314,0.0
26,0.02168368088912595,192.168.18.93,192.168.224.110,0.1734694471130076,0.0
27,0.02095746346675219,192.168.194.32,192.168.224.110,0.12574478080051316,0.0
28,0.01710949798536389,192.168.16.154,192.168.224.110,0.1085844855040714,0.0
